0.37	0.165	0.01095	NAN	NAN	NAN	
0.372	0.165	0.0123	NAN	NAN	NAN	
0.374	0.17	0.0126	0.01182	-0.0020094	NAN	
0.376	0.17	0.01245	NAN	NAN	NAN	
0.378	0.17	0.0108	NAN	NAN	NAN	
0.38	0.17	0.01065	NAN	NAN	NAN	
0.382	0.17	0.0123	NAN	NAN	NAN	
0.384	0.175	0.0132	0.01191	-0.00208425	NAN	
0.386	0.175	0.0123	NAN	NAN	NAN	
0.388	0.175	0.0111	NAN	NAN	NAN	
0.39	0.175	0.0108	NAN	NAN	NAN	
0.392	0.175	0.0123	NAN	NAN	NAN	
0.394	0.175	0.0129	0.01191	-0.00208425	NAN	
0.396	0.18	0.0123	NAN	NAN	NAN	
0.398	0.18	0.01125	NAN	NAN	NAN	
0.4	0.18	0.0105	NAN	NAN	NAN	
0.402	0.18	0.01215	NAN	NAN	NAN	
0.404	0.18	0.0132	0.01176	-0.0021168	NAN	
0.406	0.185	0.012	NAN	NAN	NAN	
0.408	0.185	0.01095	NAN	NAN	NAN	
0.41	0.185	0.01065	NAN	NAN	NAN	
0.412	0.185	0.012	NAN	NAN	NAN	
0.414	0.185	0.0132	0.01179	-0.00218115	NAN	
0.416	0.185	0.012	NAN	NAN	NAN	
0.418	0.19	0.0111	NAN	NAN	NAN	
0.42	0.19	0.0111	NAN	NAN	NAN	
0.422	0.19	0.012	NAN	NAN	NAN	
0.424	0.19	0.0132	0.01188	-0.0022572	NAN	
0.426	0.19	0.012	NAN	NAN	NAN	
0.428	0.195	0.0111	NAN	NAN	NAN	
0.43	0.195	0.01095	NAN	NAN	NAN	
0.432	0.195	0.01185	NAN	NAN	NAN	
0.434	0.195	0.01305	0.01182	-0.0023049	NAN	
0.436	0.195	0.0123	NAN	NAN	NAN	
0.438	0.195	0.01095	NAN	NAN	NAN	
0.44	0.2	0.0111	NAN	NAN	NAN	
0.442	0.2	0.01185	NAN	NAN	NAN	
0.444	0.2	0.0132	0.01185	-0.00237	NAN	
0.446	0.2	0.01215	NAN	NAN	NAN	
0.448	0.2	0.01095	NAN	NAN	NAN	
0.45	0.205	0.0114	NAN	NAN	NAN	
0.452	0.205	0.012	NAN	NAN	NAN	
0.454	0.205	0.01305	0.01194	-0.0024477	NAN	
0.456	0.205	0.0123	NAN	NAN	NAN	
0.458	0.205	0.01095	NAN	NAN	NAN	
0.46	0.205	0.0111	NAN	NAN	NAN	
0.462	0.21	0.012	NAN	NAN	NAN	
0.464	0.21	0.0129	0.01182	-0.0024822	NAN	
0.466	0.21	0.0123	NAN	NAN	NAN	
0.468	0.21	0.0108	NAN	NAN	NAN	
0.47	0.21	0.01095	NAN	NAN	NAN	
0.472	0.215	0.01245	NAN	NAN	NAN	
0.474	0.215	0.01275	0.01191	-0.00256065	NAN	
0.476	0.215	0.01245	NAN	NAN	NAN	
0.478	0.215	0.01095	NAN	NAN	NAN	
0.48	0.215	0.01095	NAN	NAN	NAN	
0.482	0.215	0.01245	NAN	NAN	NAN	
0.484	0.22	0.01275	0.01194	-0.0026268	NAN	
0.486	0.22	0.01245	NAN	NAN	NAN	
0.488	0.22	0.0111	NAN	NAN	NAN	
0.49	0.22	0.0108	NAN	NAN	NAN	
