0,51	0,23	0,1416	NAN	NAN	
0,512	0,23	0,15975	NAN	NAN	
0,514	0,23	0,1635	0,14985	NAN	
0,516	0,235	0,1485	NAN	NAN	
0,518	0,235	0,1359	NAN	NAN	
0,52	0,235	0,1416	NAN	NAN	
0,522	0,235	0,16005	NAN	NAN	
0,524	0,235	0,16335	0,14991	NAN	
0,526	0,235	0,14865	NAN	NAN	
0,528	0,24	0,1359	NAN	NAN	
0,53	0,24	0,1416	NAN	NAN	
0,532	0,24	0,16005	NAN	NAN	
0,534	0,24	0,16335	0,14997	NAN	
0,536	0,24	0,14865	NAN	NAN	
0,538	0,245	0,1362	NAN	NAN	
0,54	0,245	0,14145	NAN	NAN	
0,542	0,245	0,1602	NAN	NAN	
0,544	0,245	0,1635	0,15	NAN	
0,546	0,245	0,14865	NAN	NAN	
0,548	0,245	0,1362	NAN	NAN	
0,55	0,25	0,1413	NAN	NAN	
0,552	0,25	0,16005	NAN	NAN	
0,554	0,25	0,16335	0,14994	NAN	
0,556	0,25	0,14865	NAN	NAN	
0,558	0,25	0,13635	NAN	NAN	
0,56	0,255	0,14115	NAN	NAN	
0,562	0,255	0,16005	NAN	NAN	
0,564	0,255	0,1635	0,14994	NAN	
0,566	0,255	0,14865	NAN	NAN	
0,568	0,255	0,13635	NAN	NAN	
0,57	0,255	0,14115	NAN	NAN	
0,572	0,26	0,16005	NAN	NAN	
0,574	0,26	0,1638	0,15003	NAN	
0,576	0,26	0,1488	NAN	NAN	
0,578	0,26	0,13635	NAN	NAN	
0,58	0,26	0,141	NAN	NAN	
0,582	0,265	0,1602	NAN	NAN	
0,584	0,265	0,16365	0,15	NAN	
0,586	0,265	0,14865	NAN	NAN	
0,588	0,265	0,1365	NAN	NAN	
0,59	0,265	0,14115	NAN	NAN	
0,592	0,265	0,1599	NAN	NAN	
0,594	0,27	0,16365	0,15	NAN	
0,596	0,27	0,1488	NAN	NAN	
0,598	0,27	0,1365	NAN	NAN	
0,6	0,27	0,1413	NAN	NAN	
0,602	0,27	0,1599	NAN	NAN	
0,604	0,275	0,1638	0,15	NAN	
0,606	0,275	0,14865	NAN	NAN	
0,608	0,275	0,13635	NAN	NAN	
0,61	0,275	0,141	NAN	NAN	
0,612	0,275	0,15975	NAN	NAN	
0,614	0,275	0,16365	0,14991	NAN	
0,616	0,28	0,1488	NAN	NAN	
0,618	0,28	0,13635	NAN	NAN	
0,62	0,28	0,141	NAN	NAN	
0,622	0,28	0,15945	NAN	NAN	
0,624	0,28	0,1638	0,14994	NAN	
0,626	0,285	0,14895	NAN	NAN	
0,628	0,285	0,1365	NAN	NAN	
0,63	0,285	0,14085	NAN	NAN	
0,632	0,285	0,15945	NAN	NAN	
0,634	0,285	0,1638	0,14988	NAN	
0,636	0,29	0,14895	NAN	NAN	
0,638	0,29	0,13635	NAN	NAN	
0,64	0,29	0,1407	NAN	NAN	
0,642	0,29	0,1593	NAN	NAN	
0,644	0,29	0,1641	0,14988	NAN	
0,646	0,29	0,1488	NAN	NAN	
0,648	0,295	0,1365	NAN	NAN	
0,65	0,295	0,14115	NAN	NAN	
0,652	0,295	0,15945	NAN	NAN	
0,654	0,295	0,1641	0,15	NAN	
0,656	0,295	0,14865	NAN	NAN	
0,658	0,3	0,13665	NAN	NAN	
0,66	0,3	0,141	NAN	NAN	
0,662	0,3	0,15915	NAN	NAN	
0,664	0,3	0,1641	0,14982	NAN	
