t	u	i	iav	a	b	poo
0	0	0.129	NAN	0	NAN	
0.002	0	0.1455	NAN	0	NAN	
0.004	0	0.15405	0.13983	0	NAN	
0.006	0	0.14235	NAN	0	NAN	
0.008	0	0.12825	NAN	0	NAN	
0.01	0	0.12915	NAN	0	NAN	
0.012	0.005	0.14475	NAN	NAN	NAN	
0.014	0.005	0.1542	0.13974	-0.0006987	NAN	
0.016	0.005	0.1425	NAN	NAN	NAN	
0.018	0.005	0.1281	NAN	NAN	NAN	
0.02	0.005	0.1293	NAN	NAN	NAN	
0.022	0.01	0.1449	NAN	NAN	NAN	
0.024	0.01	0.15375	0.13968	-0.0013968	NAN	
0.026	0.01	0.1428	NAN	NAN	NAN	
0.028	0.01	0.12765	NAN	NAN	NAN	
0.03	0.01	0.1293	NAN	NAN	NAN	
0.032	0.01	0.1452	NAN	NAN	NAN	
0.034	0.015	0.15375	0.13974	-0.0020961	NAN	
0.036	0.015	0.14265	NAN	NAN	NAN	
0.038	0.015	0.1278	NAN	NAN	NAN	
0.04	0.015	0.12885	NAN	NAN	NAN	
0.042	0.015	0.1452	NAN	NAN	NAN	
0.044	0.02	0.15345	0.13968	-0.0027936	NAN	
0.046	0.02	0.1428	NAN	NAN	NAN	
0.048	0.02	0.1281	NAN	NAN	NAN	
0.05	0.02	0.1287	NAN	NAN	NAN	
0.052	0.02	0.1452	NAN	NAN	NAN	
0.054	0.02	0.15345	0.13959	-0.0027918	NAN	
0.056	0.025	0.14235	NAN	NAN	NAN	
0.058	0.025	0.12825	NAN	NAN	NAN	
0.06	0.025	0.1287	NAN	NAN	NAN	
0.062	0.025	0.14505	NAN	NAN	NAN	
0.064	0.025	0.1539	0.13959	-0.00348975	NAN	
0.066	0.03	0.1422	NAN	NAN	NAN	
0.068	0.03	0.1281	NAN	NAN	NAN	
0.07	0.03	0.129	NAN	NAN	NAN	
0.072	0.03	0.1446	NAN	NAN	NAN	
0.074	0.03	0.1539	0.13956	-0.0041868	NAN	
0.076	0.03	0.1425	NAN	NAN	NAN	
0.078	0.035	0.1278	NAN	NAN	NAN	
0.08	0.035	0.129	NAN	NAN	NAN	
0.082	0.035	0.1446	NAN	NAN	NAN	
0.084	0.035	0.15375	0.13959	-0.00488565	NAN	
0.086	0.035	0.14295	NAN	NAN	NAN	
0.088	0.04	0.12765	NAN	NAN	NAN	
0.09	0.04	0.12915	NAN	NAN	NAN	
0.092	0.04	0.1449	NAN	NAN	NAN	
0.094	0.04	0.1539	0.13968	-0.0055872	NAN	
0.096	0.04	0.1428	NAN	NAN	NAN	
0.098	0.04	0.12765	NAN	NAN	NAN	
0.1	0.045	0.12885	NAN	NAN	NAN	
0.102	0.045	0.1449	NAN	NAN	NAN	
0.104	0.045	0.1533	0.13953	-0.00627885	NAN	
0.106	0.045	0.14265	NAN	NAN	NAN	
0.108	0.045	0.12795	NAN	NAN	NAN	
0.11	0.05	0.12855	NAN	NAN	NAN	
0.112	0.05	0.14475	NAN	NAN	NAN	
0.114	0.05	0.15375	0.13953	-0.0069765	NAN	
0.116	0.05	0.14235	NAN	NAN	NAN	
0.118	0.05	0.12825	NAN	NAN	NAN	
0.12	0.05	0.1287	NAN	NAN	NAN	
0.122	0.055	0.1449	NAN	NAN	NAN	
0.124	0.055	0.1539	0.13959	-0.00767745	NAN	
0.126	0.055	0.14235	NAN	NAN	NAN	
0.128	0.055	0.1281	NAN	NAN	NAN	
0.13	0.055	0.129	NAN	NAN	NAN	
0.132	0.06	0.14445	NAN	NAN	NAN	
0.134	0.06	0.15405	0.13959	-0.0083754	NAN	
0.136	0.06	0.14235	NAN	NAN	NAN	
0.138	0.06	0.1281	NAN	NAN	NAN	
0.14	0.06	0.129	NAN	NAN	NAN	
0.142	0.06	0.14415	NAN	NAN	NAN	
0.144	0.065	0.15375	0.13953	-0.00906945	NAN	
0.146	0.065	0.14295	NAN	NAN	NAN	
0.148	0.065	0.1278	NAN	NAN	NAN	
0.15	0.065	0.12915	NAN	NAN	NAN	
0.152	0.065	0.1446	NAN	NAN	NAN	
0.154	0.07	0.1536	0.13965	-0.0097755	NAN	
0.156	0.07	0.1431	NAN	NAN	NAN	
0.158	0.07	0.1278	NAN	NAN	NAN	
0.16	0.07	0.1287	NAN	NAN	NAN	
0.162	0.07	0.14475	NAN	NAN	NAN	
0.164	0.07	0.15375	0.13968	-0.0097776	NAN	
0.166	0.075	0.1431	NAN	NAN	NAN	
0.168	0.075	0.1281	NAN	NAN	NAN	
0.17	0.075	0.12855	NAN	NAN	NAN	
0.172	0.075	0.1446	NAN	NAN	NAN	
0.174	0.075	0.15375	0.13965	-0.01047375	NAN	
0.176	0.08	0.14295	NAN	NAN	NAN	
0.178	0.08	0.1284	NAN	NAN	NAN	
0.18	0.08	0.12855	NAN	NAN	NAN	
0.182	0.08	0.14445	NAN	NAN	NAN	
0.184	0.08	0.15405	0.13962	-0.0111696	NAN	
0.186	0.08	0.14265	NAN	NAN	NAN	
0.188	0.085	0.1284	NAN	NAN	NAN	
0.19	0.085	0.129	NAN	NAN	NAN	
0.192	0.085	0.1443	NAN	NAN	NAN	
0.194	0.085	0.1542	0.13977	-0.01188045	NAN	
0.196	0.085	0.14295	NAN	NAN	NAN	
0.198	0.09	0.1284	NAN	NAN	NAN	
0.2	0.09	0.12885	NAN	NAN	NAN	
0.202	0.09	0.144	NAN	NAN	NAN	
0.204	0.09	0.15405	0.13971	-0.0125739	NAN	
0.206	0.09	0.1434	NAN	NAN	NAN	
0.208	0.09	0.12825	NAN	NAN	NAN	
0.21	0.095	0.129	NAN	NAN	NAN	
0.212	0.095	0.1449	NAN	NAN	NAN	
0.214	0.095	0.15405	0.13995	-0.01329525	NAN	
0.216	0.095	0.1437	NAN	NAN	NAN	
0.218	0.095	0.1281	NAN	NAN	NAN	
0.22	0.1	0.129	NAN	NAN	NAN	
0.222	0.1	0.1446	NAN	NAN	NAN	
0.224	0.1	0.15375	0.13983	-0.013983	NAN	
0.226	0.1	0.1434	NAN	NAN	NAN	
0.228	0.1	0.1284	NAN	NAN	NAN	
0.23	0.1	0.1287	NAN	NAN	NAN	
0.232	0.105	0.14475	NAN	NAN	NAN	
0.234	0.105	0.1542	0.13995	-0.01469475	NAN	
0.236	0.105	0.1434	NAN	NAN	NAN	
0.238	0.105	0.1287	NAN	NAN	NAN	
0.24	0.105	0.1287	NAN	NAN	NAN	
0.242	0.11	0.14475	NAN	NAN	NAN	
0.244	0.11	0.1542	0.13998	-0.0153978	NAN	
0.246	0.11	0.14325	NAN	NAN	NAN	
0.248	0.11	0.129	NAN	NAN	NAN	
0.25	0.11	0.1287	NAN	NAN	NAN	
0.252	0.11	0.14445	NAN	NAN	NAN	
0.254	0.115	0.15435	0.13983	-0.01608045	NAN	
0.256	0.115	0.1431	NAN	NAN	NAN	
0.258	0.115	0.12855	NAN	NAN	NAN	
0.26	0.115	0.12885	NAN	NAN	NAN	
0.262	0.115	0.144	NAN	NAN	NAN	
0.264	0.12	0.1542	0.13968	-0.0167616	NAN	
0.266	0.12	0.14325	NAN	NAN	NAN	
0.268	0.12	0.1281	NAN	NAN	NAN	
0.27	0.12	0.12885	NAN	NAN	NAN	
0.272	0.12	0.14415	NAN	NAN	NAN	
0.274	0.12	0.1539	0.13974	-0.0167688	NAN	
0.276	0.125	0.1437	NAN	NAN	NAN	
0.278	0.125	0.1281	NAN	NAN	NAN	
0.28	0.125	0.1287	NAN	NAN	NAN	
0.282	0.125	0.1443	NAN	NAN	NAN	
0.284	0.125	0.15375	0.13977	-0.01747125	NAN	
0.286	0.13	0.1437	NAN	NAN	NAN	
0.288	0.13	0.1284	NAN	NAN	NAN	
0.29	0.13	0.1284	NAN	NAN	NAN	
0.292	0.13	0.1443	NAN	NAN	NAN	
0.294	0.13	0.15375	0.13971	-0.0181623	NAN	
0.296	0.13	0.14355	NAN	NAN	NAN	
0.298	0.135	0.12855	NAN	NAN	NAN	
0.3	0.135	0.1284	NAN	NAN	NAN	
0.302	0.135	0.1443	NAN	NAN	NAN	
0.304	0.135	0.1539	0.13971	-0.01886085	NAN	
0.306	0.135	0.14325	NAN	NAN	NAN	
0.308	0.14	0.1287	NAN	NAN	NAN	
0.31	0.14	0.1284	NAN	NAN	NAN	
0.312	0.14	0.14415	NAN	NAN	NAN	
0.314	0.14	0.1539	0.13971	-0.0195594	NAN	
0.316	0.14	0.1434	NAN	NAN	NAN	
0.318	0.145	0.1287	NAN	NAN	NAN	
0.32	0.145	0.1287	NAN	NAN	NAN	
0.322	0.145	0.1437	NAN	NAN	NAN	
0.324	0.145	0.15405	0.13968	-0.0202536	NAN	
0.326	0.145	0.1434	NAN	NAN	NAN	
0.328	0.145	0.12855	NAN	NAN	NAN	
0.33	0.15	0.1287	NAN	NAN	NAN	
0.332	0.15	0.1437	NAN	NAN	NAN	
0.334	0.15	0.1542	0.13974	-0.020961	NAN	
0.336	0.15	0.1437	NAN	NAN	NAN	
0.338	0.15	0.1284	NAN	NAN	NAN	
0.34	0.155	0.1287	NAN	NAN	NAN	
0.342	0.155	0.14385	NAN	NAN	NAN	
0.344	0.155	0.15375	0.13968	-0.0216504	NAN	
0.346	0.155	0.1437	NAN	NAN	NAN	
0.348	0.155	0.1284	NAN	NAN	NAN	
0.35	0.155	0.12855	NAN	NAN	NAN	
0.352	0.16	0.14415	NAN	NAN	NAN	
0.354	0.16	0.15375	0.13974	-0.0223584	NAN	
0.356	0.16	0.14385	NAN	NAN	NAN	
0.358	0.16	0.1284	NAN	NAN	NAN	
0.36	0.16	0.1284	NAN	NAN	NAN	
0.362	0.165	0.1443	NAN	NAN	NAN	
0.364	0.165	0.1539	0.1398	-0.023067	NAN	
0.366	0.165	0.14385	NAN	NAN	NAN	
0.368	0.165	0.12855	NAN	NAN	NAN	
0.37	0.165	0.12825	NAN	NAN	NAN	
0.372	0.165	0.14385	NAN	NAN	NAN	
0.374	0.17	0.1539	0.13962	-0.0237354	NAN	
0.376	0.17	0.1434	NAN	NAN	NAN	
0.378	0.17	0.1287	NAN	NAN	NAN	
0.38	0.17	0.1284	NAN	NAN	NAN	
0.382	0.17	0.14355	NAN	NAN	NAN	
0.384	0.175	0.1542	0.13968	-0.024444	NAN	
0.386	0.175	0.1437	NAN	NAN	NAN	
0.388	0.175	0.12855	NAN	NAN	NAN	
0.39	0.175	0.1287	NAN	NAN	NAN	
0.392	0.175	0.1434	NAN	NAN	NAN	
0.394	0.175	0.1542	0.13971	-0.02444925	NAN	
0.396	0.18	0.144	NAN	NAN	NAN	
0.398	0.18	0.12825	NAN	NAN	NAN	
0.4	0.18	0.12855	NAN	NAN	NAN	
0.402	0.18	0.1437	NAN	NAN	NAN	
0.404	0.18	0.1536	0.13962	-0.0251316	NAN	
0.406	0.185	0.144	NAN	NAN	NAN	
0.408	0.185	0.12825	NAN	NAN	NAN	
0.41	0.185	0.12825	NAN	NAN	NAN	
0.412	0.185	0.14385	NAN	NAN	NAN	
0.414	0.185	0.1536	0.13968	-0.0258408	NAN	
0.416	0.185	0.144	NAN	NAN	NAN	
0.418	0.19	0.1287	NAN	NAN	NAN	
0.42	0.19	0.12825	NAN	NAN	NAN	
0.422	0.19	0.144	NAN	NAN	NAN	
0.424	0.19	0.1539	0.13974	-0.0265506	NAN	
0.426	0.19	0.14355	NAN	NAN	NAN	
0.428	0.195	0.129	NAN	NAN	NAN	
0.43	0.195	0.1278	NAN	NAN	NAN	
0.432	0.195	0.14355	NAN	NAN	NAN	
0.434	0.195	0.1542	0.13962	-0.0272259	NAN	
0.436	0.195	0.1437	NAN	NAN	NAN	
0.438	0.195	0.12885	NAN	NAN	NAN	
0.44	0.2	0.12825	NAN	NAN	NAN	
0.442	0.2	0.14325	NAN	NAN	NAN	
0.444	0.2	0.15405	0.13953	-0.027906	NAN	
0.446	0.2	0.14355	NAN	NAN	NAN	
0.448	0.2	0.12855	NAN	NAN	NAN	
0.45	0.205	0.12885	NAN	NAN	NAN	
0.452	0.205	0.1431	NAN	NAN	NAN	
0.454	0.205	0.1539	0.13956	-0.0286098	NAN	
0.456	0.205	0.1437	NAN	NAN	NAN	
0.458	0.205	0.12825	NAN	NAN	NAN	
0.46	0.205	0.12825	NAN	NAN	NAN	
0.462	0.21	0.14325	NAN	NAN	NAN	
0.464	0.21	0.1539	0.13956	-0.0293076	NAN	
0.466	0.21	0.14415	NAN	NAN	NAN	
0.468	0.21	0.12825	NAN	NAN	NAN	
0.47	0.21	0.12825	NAN	NAN	NAN	
0.472	0.215	0.14385	NAN	NAN	NAN	
0.474	0.215	0.15375	0.13977	-0.03005055	NAN	
0.476	0.215	0.1443	NAN	NAN	NAN	
0.478	0.215	0.1287	NAN	NAN	NAN	
0.48	0.215	0.1281	NAN	NAN	NAN	
0.482	0.215	0.1437	NAN	NAN	NAN	
0.484	0.22	0.15375	0.13962	-0.0307164	NAN	
0.486	0.22	0.144	NAN	NAN	NAN	
0.488	0.22	0.12855	NAN	NAN	NAN	
0.49	0.22	0.12795	NAN	NAN	NAN	
0.492	0.22	0.1434	NAN	NAN	NAN	
0.494	0.225	0.15405	0.13965	-0.03142125	NAN	
0.496	0.225	0.14385	NAN	NAN	NAN	
0.498	0.225	0.129	NAN	NAN	NAN	
0.5	0.225	0.12795	NAN	NAN	NAN	
0.502	0.225	0.1431	NAN	NAN	NAN	
0.504	0.225	0.15405	0.13956	-0.031401	NAN	
0.506	0.23	0.14385	NAN	NAN	NAN	
0.508	0.23	0.12885	NAN	NAN	NAN	
0.51	0.23	0.1284	NAN	NAN	NAN	
0.512	0.23	0.1428	NAN	NAN	NAN	
0.514	0.23	0.1539	0.13956	-0.0320988	NAN	
0.516	0.235	0.144	NAN	NAN	NAN	
0.518	0.235	0.1287	NAN	NAN	NAN	
0.52	0.235	0.1281	NAN	NAN	NAN	
0.522	0.235	0.14295	NAN	NAN	NAN	
0.524	0.235	0.15375	0.13938	-0.0327543	NAN	
0.526	0.235	0.14385	NAN	NAN	NAN	
0.528	0.24	0.12825	NAN	NAN	NAN	
0.53	0.24	0.12795	NAN	NAN	NAN	
0.532	0.24	0.1431	NAN	NAN	NAN	
0.534	0.24	0.1536	0.1395	-0.03348	NAN	
0.536	0.24	0.1443	NAN	NAN	NAN	
0.538	0.245	0.12855	NAN	NAN	NAN	
0.54	0.245	0.1281	NAN	NAN	NAN	
0.542	0.245	0.1434	NAN	NAN	NAN	
0.544	0.245	0.1536	0.13959	-0.03419955	NAN	
0.546	0.245	0.144	NAN	NAN	NAN	
0.548	0.245	0.12885	NAN	NAN	NAN	
0.55	0.25	0.12765	NAN	NAN	NAN	
0.552	0.25	0.14325	NAN	NAN	NAN	
0.554	0.25	0.1536	0.13944	-0.03486	NAN	
0.556	0.25	0.1437	NAN	NAN	NAN	
0.558	0.25	0.129	NAN	NAN	NAN	
0.56	0.255	0.12795	NAN	NAN	NAN	
0.562	0.255	0.14295	NAN	NAN	NAN	
0.564	0.255	0.15405	0.13953	-0.03558015	NAN	
0.566	0.255	0.14385	NAN	NAN	NAN	
0.568	0.255	0.12885	NAN	NAN	NAN	
0.57	0.255	0.12825	NAN	NAN	NAN	
0.572	0.26	0.1428	NAN	NAN	NAN	
0.574	0.26	0.1542	0.13956	-0.0362856	NAN	
0.576	0.26	0.14385	NAN	NAN	NAN	
0.578	0.26	0.1287	NAN	NAN	NAN	
0.58	0.26	0.1281	NAN	NAN	NAN	
0.582	0.265	0.1428	NAN	NAN	NAN	
0.584	0.265	0.15405	0.13965	-0.03700725	NAN	
0.586	0.265	0.1446	NAN	NAN	NAN	
0.588	0.265	0.1287	NAN	NAN	NAN	
0.59	0.265	0.1281	NAN	NAN	NAN	
0.592	0.265	0.14295	NAN	NAN	NAN	
0.594	0.27	0.1536	0.13959	-0.0376893	NAN	
0.596	0.27	0.1446	NAN	NAN	NAN	
0.598	0.27	0.1287	NAN	NAN	NAN	
0.6	0.27	0.1281	NAN	NAN	NAN	
0.602	0.27	0.14325	NAN	NAN	NAN	
0.604	0.275	0.15375	0.13977	-0.03843675	NAN	
0.606	0.275	0.1446	NAN	NAN	NAN	
0.608	0.275	0.12915	NAN	NAN	NAN	
0.61	0.275	0.12765	NAN	NAN	NAN	
0.612	0.275	0.14325	NAN	NAN	NAN	
0.614	0.275	0.1539	0.13959	-0.03838725	NAN	
0.616	0.28	0.14415	NAN	NAN	NAN	
0.618	0.28	0.129	NAN	NAN	NAN	
0.62	0.28	0.1278	NAN	NAN	NAN	
0.622	0.28	0.1428	NAN	NAN	NAN	
0.624	0.28	0.15435	0.13962	-0.0390936	NAN	
0.626	0.285	0.14415	NAN	NAN	NAN	
0.628	0.285	0.129	NAN	NAN	NAN	
0.63	0.285	0.12825	NAN	NAN	NAN	
0.632	0.285	0.1428	NAN	NAN	NAN	
0.634	0.285	0.15435	0.13983	-0.03985155	NAN	
0.636	0.29	0.1446	NAN	NAN	NAN	
0.638	0.29	0.12915	NAN	NAN	NAN	
0.64	0.29	0.12825	NAN	NAN	NAN	
0.642	0.29	0.1425	NAN	NAN	NAN	
0.644	0.29	0.15405	0.13968	-0.0405072	NAN	
0.646	0.29	0.1446	NAN	NAN	NAN	
0.648	0.295	0.129	NAN	NAN	NAN	
0.65	0.295	0.12855	NAN	NAN	NAN	
0.652	0.295	0.1431	NAN	NAN	NAN	
0.654	0.295	0.15375	0.13983	-0.04124985	NAN	
0.656	0.295	0.1449	NAN	NAN	NAN	
0.658	0.3	0.12885	NAN	NAN	NAN	
0.66	0.3	0.1281	NAN	NAN	NAN	
0.662	0.3	0.1431	NAN	NAN	NAN	
0.664	0.3	0.1539	0.13983	-0.041949	NAN	
0.666	0.3	0.14475	NAN	NAN	NAN	
0.668	0.3	0.1293	NAN	NAN	NAN	
0.67	0.305	0.1278	NAN	NAN	NAN	
0.672	0.305	0.1431	NAN	NAN	NAN	
0.674	0.305	0.1539	0.13971	-0.04261155	NAN	
0.676	0.305	0.14445	NAN	NAN	NAN	
0.678	0.305	0.1293	NAN	NAN	NAN	
0.68	0.31	0.12765	NAN	NAN	NAN	
0.682	0.31	0.1431	NAN	NAN	NAN	
0.684	0.31	0.1542	0.13974	-0.0433194	NAN	
0.686	0.31	0.14445	NAN	NAN	NAN	
0.688	0.31	0.1293	NAN	NAN	NAN	
0.69	0.31	0.1281	NAN	NAN	NAN	
0.692	0.315	0.14265	NAN	NAN	NAN	
0.694	0.315	0.15435	0.1398	-0.044037	NAN	
0.696	0.315	0.14475	NAN	NAN	NAN	
0.698	0.315	0.12915	NAN	NAN	NAN	
0.7	0.315	0.12825	NAN	NAN	NAN	
0.702	0.32	0.1428	NAN	NAN	NAN	
0.704	0.32	0.1539	0.13965	-0.044688	NAN	
0.706	0.32	0.14475	NAN	NAN	NAN	
0.708	0.32	0.12855	NAN	NAN	NAN	
0.71	0.32	0.12825	NAN	NAN	NAN	
0.712	0.32	0.1425	NAN	NAN	NAN	
0.714	0.325	0.1542	0.13974	-0.0454155	NAN	
0.716	0.325	0.1449	NAN	NAN	NAN	
0.718	0.325	0.12885	NAN	NAN	NAN	
0.72	0.325	0.12795	NAN	NAN	NAN	
0.722	0.325	0.1425	NAN	NAN	NAN	
0.724	0.33	0.1539	0.13965	-0.0460845	NAN	
0.726	0.33	0.1449	NAN	NAN	NAN	
0.728	0.33	0.129	NAN	NAN	NAN	
0.73	0.33	0.12795	NAN	NAN	NAN	
0.732	0.33	0.14265	NAN	NAN	NAN	
0.734	0.33	0.1536	0.13962	-0.0460746	NAN	
0.736	0.335	0.1449	NAN	NAN	NAN	
0.738	0.335	0.129	NAN	NAN	NAN	
0.74	0.335	0.12765	NAN	NAN	NAN	
0.742	0.335	0.1428	NAN	NAN	NAN	
0.744	0.335	0.1539	0.13968	-0.0467928	NAN	
0.746	0.34	0.1446	NAN	NAN	NAN	
0.748	0.34	0.12945	NAN	NAN	NAN	
0.75	0.34	0.1278	NAN	NAN	NAN	
0.752	0.34	0.14235	NAN	NAN	NAN	
0.754	0.34	0.15405	0.13956	-0.0474504	NAN	
0.756	0.34	0.1446	NAN	NAN	NAN	
0.758	0.345	0.129	NAN	NAN	NAN	
0.76	0.345	0.1281	NAN	NAN	NAN	
0.762	0.345	0.14205	NAN	NAN	NAN	
0.764	0.345	0.15405	0.13959	-0.04815855	NAN	
0.766	0.345	0.14475	NAN	NAN	NAN	
0.768	0.35	0.129	NAN	NAN	NAN	
0.77	0.35	0.1281	NAN	NAN	NAN	
0.772	0.35	0.1422	NAN	NAN	NAN	
0.774	0.35	0.1539	0.13968	-0.048888	NAN	
0.776	0.35	0.1452	NAN	NAN	NAN	
0.778	0.35	0.129	NAN	NAN	NAN	
0.78	0.355	0.1278	NAN	NAN	NAN	
0.782	0.355	0.1428	NAN	NAN	NAN	
0.784	0.355	0.15375	0.13965	-0.04957575	NAN	
0.786	0.355	0.1449	NAN	NAN	NAN	
0.788	0.355	0.129	NAN	NAN	NAN	
0.79	0.36	0.12735	NAN	NAN	NAN	
0.792	0.36	0.1425	NAN	NAN	NAN	
0.794	0.36	0.15375	0.1395	-0.05022	NAN	
0.796	0.36	0.1446	NAN	NAN	NAN	
0.798	0.36	0.1293	NAN	NAN	NAN	
0.8	0.36	0.12735	NAN	NAN	NAN	
0.802	0.365	0.14205	NAN	NAN	NAN	
0.804	0.365	0.1539	0.13941	-0.05088465	NAN	
0.806	0.365	0.14445	NAN	NAN	NAN	
0.808	0.365	0.1293	NAN	NAN	NAN	
0.81	0.365	0.1275	NAN	NAN	NAN	
0.812	0.37	0.1419	NAN	NAN	NAN	
0.814	0.37	0.15375	0.13932	-0.0515484	NAN	
0.816	0.37	0.14445	NAN	NAN	NAN	
0.818	0.37	0.129	NAN	NAN	NAN	
0.82	0.37	0.12735	NAN	NAN	NAN	
0.822	0.37	0.1413	NAN	NAN	NAN	
0.824	0.375	0.15405	0.13929	-0.05223375	NAN	
0.826	0.375	0.14475	NAN	NAN	NAN	
0.828	0.375	0.129	NAN	NAN	NAN	
0.83	0.375	0.12765	NAN	NAN	NAN	
0.832	0.375	0.14145	NAN	NAN	NAN	
0.834	0.38	0.15375	0.13926	-0.0529188	NAN	
0.836	0.38	0.1449	NAN	NAN	NAN	
0.838	0.38	0.12855	NAN	NAN	NAN	
0.84	0.38	0.12765	NAN	NAN	NAN	
0.842	0.38	0.14205	NAN	NAN	NAN	
0.844	0.38	0.1533	0.13929	-0.0529302	NAN	
0.846	0.385	0.14475	NAN	NAN	NAN	
0.848	0.385	0.1287	NAN	NAN	NAN	
0.85	0.385	0.1275	NAN	NAN	NAN	
0.852	0.385	0.1422	NAN	NAN	NAN	
0.854	0.385	0.15345	0.13938	-0.0536613	NAN	
0.856	0.39	0.14475	NAN	NAN	NAN	
0.858	0.39	0.129	NAN	NAN	NAN	
0.86	0.39	0.12705	NAN	NAN	NAN	
0.862	0.39	0.1419	NAN	NAN	NAN	
0.864	0.39	0.1536	0.13929	-0.0543231	NAN	
0.866	0.39	0.1449	NAN	NAN	NAN	
0.868	0.395	0.129	NAN	NAN	NAN	
0.87	0.395	0.1272	NAN	NAN	NAN	
0.872	0.395	0.1416	NAN	NAN	NAN	
0.874	0.395	0.1536	0.13926	-0.0550077	NAN	
0.876	0.395	0.14475	NAN	NAN	NAN	
0.878	0.4	0.12915	NAN	NAN	NAN	
0.88	0.4	0.1275	NAN	NAN	NAN	
0.882	0.4	0.1416	NAN	NAN	NAN	
0.884	0.4	0.1539	0.13935	-0.05574	NAN	
0.886	0.4	0.14475	NAN	NAN	NAN	
0.888	0.4	0.129	NAN	NAN	NAN	
0.89	0.405	0.12765	NAN	NAN	NAN	
0.892	0.405	0.1413	NAN	NAN	NAN	
0.894	0.405	0.15375	0.13932	-0.0564246	NAN	
0.896	0.405	0.1449	NAN	NAN	NAN	
0.898	0.405	0.129	NAN	NAN	NAN	
0.9	0.41	0.1275	NAN	NAN	NAN	
0.902	0.41	0.1416	NAN	NAN	NAN	
0.904	0.41	0.15345	0.13938	-0.0571458	NAN	
0.906	0.41	0.14535	NAN	NAN	NAN	
0.908	0.41	0.129	NAN	NAN	NAN	
0.91	0.41	0.12735	NAN	NAN	NAN	
0.912	0.415	0.14145	NAN	NAN	NAN	
0.914	0.415	0.15315	0.13929	-0.05780535	NAN	
0.916	0.415	0.1452	NAN	NAN	NAN	
0.918	0.415	0.1293	NAN	NAN	NAN	
0.92	0.415	0.1272	NAN	NAN	NAN	
0.922	0.42	0.14175	NAN	NAN	NAN	
0.924	0.42	0.1533	0.13929	-0.0585018	NAN	
0.926	0.42	0.1449	NAN	NAN	NAN	
0.928	0.42	0.1293	NAN	NAN	NAN	
0.93	0.42	0.12705	NAN	NAN	NAN	
0.932	0.42	0.14145	NAN	NAN	NAN	
0.934	0.425	0.15375	0.1392	-0.05916	NAN	
0.936	0.425	0.1446	NAN	NAN	NAN	
0.938	0.425	0.12915	NAN	NAN	NAN	
0.94	0.425	0.12705	NAN	NAN	NAN	
0.942	0.425	0.1413	NAN	NAN	NAN	
0.944	0.43	0.1536	0.13908	-0.0598044	NAN	
0.946	0.43	0.14445	NAN	NAN	NAN	
0.948	0.43	0.129	NAN	NAN	NAN	
0.95	0.43	0.1272	NAN	NAN	NAN	
0.952	0.43	0.141	NAN	NAN	NAN	
0.954	0.435	0.1536	0.13905	-0.06048675	NAN	
0.956	0.435	0.1446	NAN	NAN	NAN	
0.958	0.435	0.12885	NAN	NAN	NAN	
0.96	0.435	0.12735	NAN	NAN	NAN	
0.962	0.435	0.14115	NAN	NAN	NAN	
0.964	0.435	0.15345	0.13908	-0.0604998	NAN	
0.966	0.44	0.1449	NAN	NAN	NAN	
0.968	0.44	0.12855	NAN	NAN	NAN	
0.97	0.44	0.1272	NAN	NAN	NAN	
0.972	0.44	0.141	NAN	NAN	NAN	
0.974	0.44	0.1533	0.13905	-0.061182	NAN	
0.976	0.445	0.14505	NAN	NAN	NAN	
0.978	0.445	0.1287	NAN	NAN	NAN	
0.98	0.445	0.1269	NAN	NAN	NAN	
0.982	0.445	0.1413	NAN	NAN	NAN	
0.984	0.445	0.153	0.13908	-0.0618906	NAN	
0.986	0.445	0.1452	NAN	NAN	NAN	
0.988	0.45	0.129	NAN	NAN	NAN	
0.99	0.45	0.1269	NAN	NAN	NAN	
0.992	0.45	0.14175	NAN	NAN	NAN	
0.994	0.45	0.153	0.13917	-0.0626265	NAN	
0.996	0.45	0.1449	NAN	NAN	NAN	
0.998	0.455	0.1293	NAN	NAN	NAN	
1	0.455	0.12675	NAN	NAN	NAN	
1.002	0.455	0.1413	NAN	NAN	NAN	
1.004	0.455	0.15345	0.1392	-0.063336	NAN	
1.006	0.455	0.1449	NAN	NAN	NAN	
1.008	0.455	0.1296	NAN	NAN	NAN	
1.01	0.46	0.12705	NAN	NAN	NAN	
1.012	0.46	0.1413	NAN	NAN	NAN	
1.014	0.46	0.15375	0.13929	-0.0640734	NAN	
1.016	0.46	0.1449	NAN	NAN	NAN	
1.018	0.46	0.12945	NAN	NAN	NAN	
1.02	0.465	0.1275	NAN	NAN	NAN	
1.022	0.465	0.14115	NAN	NAN	NAN	
1.024	0.465	0.15405	0.13941	-0.06482565	NAN	
1.026	0.465	0.1452	NAN	NAN	NAN	
1.028	0.465	0.12915	NAN	NAN	NAN	
1.03	0.465	0.12765	NAN	NAN	NAN	
1.032	0.47	0.1407	NAN	NAN	NAN	
1.034	0.47	0.15375	0.13935	-0.0654945	NAN	
1.036	0.47	0.1455	NAN	NAN	NAN	
1.038	0.47	0.12915	NAN	NAN	NAN	
1.04	0.47	0.12735	NAN	NAN	NAN	
1.042	0.475	0.14145	NAN	NAN	NAN	
1.044	0.475	0.1536	0.13941	-0.06621975	NAN	
1.046	0.475	0.1455	NAN	NAN	NAN	
1.048	0.475	0.12915	NAN	NAN	NAN	
